date,all_oi_usd,btc_oi_usd,eth_oi_usd,others_oi_usd,btc_pct,eth_pct,others_pct,market_count
2022-01-10,3113385763.896828,1595420618.256,742085405.016,775879740.6248281,51.24391062,23.83531824,24.92077113,85
2022-01-11,3034571861.5918794,1556026370.333,729130976.52,749414514.7388794,51.27663609,24.02747438,24.69588953,87
2022-01-12,3234353797.257303,1674503392.079,762965145.3199999,796885259.8583033,51.77242494,23.58941517,24.63815989,87
2022-01-13,3259783390.157874,1650301402.8025613,762897901.3310001,846584086.0243127,50.62610626,23.40333114,25.9705626,87
2022-01-14,3248775021.3917527,1673280041.8200002,755062770.4,820432209.1717526,51.50495281,23.24146072,25.25358647,88
2022-01-15,3277850589.334104,1655609095.0915,776092742.3065,846148751.936104,50.50898599,23.67687975,25.81413426,90
2022-01-16,3309244547.0156484,1665669946.8449998,775677635.6545,867896964.5161486,50.33384276,23.43971939,26.22643785,90
2022-01-17,3320008798.677494,1654115590.55,767810174.9,898083033.2274941,49.82262671,23.12675121,27.05062208,90
2022-01-18,3374635760.6615314,1733408082.4,761557564.958,879670113.3035314,51.36578302,22.5671041,26.06711289,90
2022-01-19,3304733019.981374,1705971921.0975766,736190381.1470001,862570717.7367971,51.62207993,22.27684889,26.10107118,90
2022-01-20,3321286795.8098545,1744404773.561,747920770.0,828961252.2488544,52.52195552,22.51900591,24.95903857,91
2022-01-21,3228219239.868821,1704105698.16,743543037.6235,780570504.0853211,52.78779325,23.0326066,24.17960015,91
2022-01-22,2609444600.351696,1374808294.6025,588778416.191,645857889.5581961,52.68585868,22.56336142,24.7507799,91
2022-01-23,2335894170.9079576,1276712279.026,546058647.02,513123244.86195755,54.65625519,23.3768573,21.96688751,91
2022-01-24,2433404060.6422524,1333285390.0476377,566885591.4715,533233079.1231147,54.79095772,23.29599102,21.91305126,91
2022-01-25,2308480331.332653,1244922757.487,548255187.8199756,515302386.02567744,53.92823758,23.74961486,22.32214756,92
2022-01-26,2407818395.8269405,1318218718.475,560814064.1575,528785613.1944406,54.74743115,23.29137717,21.96119168,92
2022-01-27,2332739197.5849915,1254967817.6946323,550217892.534,527553487.3563591,53.79803362,23.58677271,22.61519367,92
2022-01-28,2354088672.762399,1262667536.8555002,556282935.184,535138200.72289896,53.6372122,23.63050048,22.73228731,92
2022-01-29,2402081382.2452087,1313566777.312623,537013973.8395,551500631.0930858,54.68452431,22.356194,22.9592817,92
2022-01-30,2505489313.1614156,1367440677.2610002,566539033.848,571509602.0524154,54.57778926,22.61191181,22.81029893,92
2022-01-31,2489186313.2377396,1343732447.4229999,576207830.041,569246035.7737397,53.98279913,23.1484412,22.86875967,94
2022-02-01,2629420853.2555304,1478091282.111,559237201.0914731,592092370.0530572,56.2135681,21.26845539,22.51797651,94
2022-02-02,2607965770.902619,1427908322.9424999,574519482.438,605537965.522119,54.7518046,22.02941039,23.21878501,94
2022-02-03,2552168977.925948,1373081560.446,601225747.635,577861669.844948,53.80057403,23.55744282,22.64198315,94
2022-02-04,2582787652.5081105,1406692334.069,569415090.411973,606680228.0271375,54.464111,22.04653138,23.48935761,94
2022-02-05,2809328490.7935033,1524742116.7730846,633466497.755,651119876.2654186,54.27425528,22.54868022,23.1770645,94
2022-02-06,2811765341.2926564,1494037128.0879998,639462639.944,678265573.2606566,53.13519966,22.74239001,24.12241033,94
2022-02-07,2912581157.819288,1577295801.62,637757232.7759695,697528123.4233184,54.15456999,21.89663389,23.94879612,94
2022-02-08,3081336756.490671,1672856798.3355618,656903844.56,751576113.5951095,54.28996992,21.31879429,24.39123578,94
2022-02-09,2969767070.1802406,1574415243.982,657770587.723,737581238.4752405,53.01477209,22.14889492,24.83633299,94
2022-02-10,3017232483.0479417,1580933928.3015566,687009401.1999676,749289153.5464175,52.39682183,22.76952158,24.8336566,94
2022-02-11,2961156682.189206,1591255213.2005653,666756516.196,703144952.7926408,53.73762296,22.51675908,23.74561795,94
2022-02-12,2812560485.0595345,1523327872.6095767,632835426.095,656397186.3549578,54.16160402,22.50033126,23.33806472,94
2022-02-13,2805389053.519477,1529956586.9150782,619182190.6825,656250275.9218987,54.53634265,22.07117013,23.39248722,94
2022-02-14,2797807090.4543786,1519098625.9455,618884708.295,659823756.2138788,54.29604604,22.12034956,23.5836044,94
2022-02-15,2851273136.1022134,1570344211.3120747,614300445.4095,666628479.3806387,55.075194,21.54477723,23.38002876,94
2022-02-16,3140803460.5715094,1753607612.6330547,652433718.125,734762129.8134546,55.83308967,20.77282856,23.39408177,95
2022-02-17,3077626658.3599873,1702831469.576,646453958.8609688,728341229.9230185,55.32937093,21.00495059,23.66567848,95
